"Relevance","Relevanz"
"Grid","Tabelle"
"List","Listó"
"AdjustWare Layered Navigation Pro Section","AdjustWare Layered Navigation Pro Section"
"Layered Navigation Pro","Layered Navigation Pro"
"Categories Filter","Kategorienfilter"
"Price Filter","Preisfilter"
"Remove Links from the Navigation","Links von der Navigation loeschen"
"This prevents `Duplicate content` penalty from search engines, however customers with disabled JavaScript won't be able to use the filters","Das beugt `Contentverdoppelung` vor Suchmaschinen vor, aber Kunden mit ausgeschaltetem JavaScript kann nicht Filter verwenden"
"Reset Filters while Click on Another Category","Filter ausschalten, wenn andere Kategorie geklickt ist"
"Reload page while Click on Another Category","Seite neu herunterladen, wenn andere Kategorie geklickt ist"
"Defines filtering logic","Filterlogik bestimmen"
"Breadcrumbs","Navigationsweg"
"None","Nichts"
"OR","ODER"
"AND","UND"
"Default","Default"
"Slider","Slider"
"Input","Eingangsdaten"
"From","Von"
"To","Bis"
"Go","Gehen"
"Range:","Bereich:"
"Value:","Werte:"
"Shop by","Kaufen bei"
"Clear All","Alles rein machen"
"Remove This Item","Dieser Posten loeschen"
"Show More Attributes","Zeigen Mehr Attribute"
"Show Less Attributes","Zeigen Weniger Attribute"
"Show More","Zeigen Mehr"
"Show Less","Zeigen Weniger"
"Layered Navigation Pro - Ranging Filters","Layered Navigation Pro - Variërend Filters"
"Automatic ranging for Attributes","Automatische variërend van attributen"
"Automatic ranging for Values","Automatische variërend van Waarden"
"Featured Attributes Limit","Speciale attributen Limit"
"Featured Values Limit in Attributes","Aanbevolen grenswaarden in Attributes"
"Attributes and Values usage refreshing period","Attributen en waarden gebruik verfrissende periode"
"Period in hours","Periode in uren"
"Configurable Product Attributes","Configureerbare Product eigenschappen"
"Index configurable product attributes for layered navigation pro filtering","Index configureerbaar product attributen voor gelaagde navigatie pro-filtering"
